Segment_Type,Segment,total_claims,total_exposure,observed_frequency,nb_pred_frequency,abs_error
Driver Age,18-25,565,3205.248417533,0.49962460239811446,0.18073580796956673,0.31888879442854773
Driver Age,26-35,1393,13805.908482632,0.23432311444936496,0.1014488161147793,0.13287429833458567
Driver Age,36-50,2601,26343.912374366,0.2774558871505716,0.10508627440111394,0.17236961274945767
Driver Age,51-70,2173,22870.65814877,0.28473907742387344,0.09989010986177185,0.1848489675621016
Driver Age,70+,509,5398.695683054,0.23167418012014296,0.10291700584076036,0.1287571742793826
Bonus Malus,Low,5546,61931.083265834,0.25263573471889067,0.09224113982484998,0.16039459489404068
Bonus Malus,Moderate,1457,9022.065128344,0.3764482762269817,0.16202178642303308,0.2144264898039486
Bonus Malus,High,210,598.076515456,0.950688797097258,0.37898082348647416,0.5717079736107837
Bonus Malus,Very High,21,57.738196721,0.3449291257823783,0.3918074043330263,0.04687827855064802
Bonus Malus,Extreme,7,15.459999999999999,0.6769614285416276,0.536184429642955,0.14077699889867257
