Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper,Rate_Ratio,RR_CI_Lower,RR_CI_Upper,Significant_5pct
Intercept,-2.3059912686450454,0.030646993169142135,0.0,-2.366058271491009,-2.245924265799082,0.0996599618784461,0.09384992909246735,0.10582968040207616,True
driver_age_band[T.26-35],-0.259023436941428,0.027675014435130697,8.013849457988817e-21,-0.31326546850591025,-0.20478140537694572,0.7718049340846954,0.7310558145117458,0.8148254133992805,True
driver_age_band[T.36-50],-0.03680904604586362,0.027777581655279167,0.18512637485312744,-0.09125210566783129,0.017634013576104043,0.9638601706881839,0.9127875629715352,1.0177904107442644,False
driver_age_band[T.51-70],-0.06255722242049341,0.02868236055157326,0.02918085316277918,-0.1187736160931694,-0.006340828747817426,0.9393593088621588,0.8880088089120479,0.9936792318840484,True
driver_age_band[T.70+],-0.004709011123609899,0.03500003590765349,0.892973181883071,-0.0733078209602194,0.0638897987129996,0.9953020588861882,0.9293147234427341,1.0659749204803481,False
vehicle_age_band[T.6-10],-0.1805172575127817,0.014660052297799374,7.658106837931323e-35,-0.20925043202794213,-0.15178408299762125,0.8348382733404535,0.811192061730776,0.8591737709403028,True
vehicle_age_band[T.11-15],-0.3446598826763473,0.016738786462604675,3.339465689352493e-94,-0.3774673012879591,-0.3118524640647355,0.7084612724470146,0.6855956193115083,0.7320895297745348,True
vehicle_age_band[T.16-20],-0.6037866960659306,0.02962825923033884,2.581981964516094e-92,-0.6618570170820112,-0.54571637504985,0.5467373829922929,0.5158924233674249,0.5794265479033124,True
vehicle_age_band[T.20+],-0.6982466947406674,0.06833657864728737,1.651137615455254e-24,-0.8321839277160394,-0.5643094617652953,0.497456733133842,0.43509802532030145,0.5687527567104497,True
bonus_malus_band[T.Moderate],0.6016184563324039,0.018347366848259185,8.055429428700978e-236,0.5656582780986716,0.6375786345661361,1.8250702078191712,1.760606369957401,1.8918943611170196,True
bonus_malus_band[T.High],1.4288950138385463,0.03819321118141155,2.4676902653246097e-306,1.3540376954690472,1.5037523322080455,4.174084337288107,3.873032126422044,4.4985374471679025,True
bonus_malus_band[T.Very High],1.4830572836608698,0.12156570664014724,3.1221926475806334e-34,1.2447928768910195,1.72132169043072,4.406396713305674,3.4722155487731783,5.591914361967341,True
bonus_malus_band[T.Extreme],1.7995469044871308,0.17506837350518606,8.753298938574932e-25,1.4564191975849599,2.142674611389302,6.046907017181436,4.290568310966921,8.522200749251745,True
density_band[T.Low],0.06651496769975912,0.01988552117373499,0.0008231391498987079,0.027540062385429873,0.10548987301408837,1.068776961088117,1.0279227953215766,1.1112548508036508,True
density_band[T.Medium],0.11083158431291201,0.01970320610351062,1.854507155338569e-08,0.07221400997006142,0.1494491586557626,1.1172067358693893,1.0748853556333298,1.161194432625344,True
density_band[T.High],0.2289370264660311,0.01930212699094055,1.893512946869481e-32,0.1911055527387691,0.26676850019329307,1.257262862231282,1.2105872261349677,1.3057381332138416,True
density_band[T.Very High],0.2904508471534393,0.01956975673192455,7.859193487627158e-50,0.2520948287726569,0.32880686553422167,1.3370301483978748,1.2867180493929993,1.3893095061254135,True
